e-
C
C+
C-
C2
H
H+
H-
H2
H2+
H3+
He
He+
O
O+
O-
O2
O2+
CH
CH+
CH2
CH2+
CH3+
CO
CO+
H2O
H2O+
H3O+
OH
OH+
HCO+
HOC+
